locus_tag	ftype	length_bp	gene	EC_number	COG	product
HNJIGEIF_00823	CDS	492	mrpE		COG1863	Na(+)/H(+) antiporter subunit E
HNJIGEIF_00824	CDS	1569	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
HNJIGEIF_00825	CDS	357	mrpC		COG1006	Na(+)/H(+) antiporter subunit C
HNJIGEIF_00826	CDS	435	mrpB		COG2111	Na(+)/H(+) antiporter subunit B
HNJIGEIF_00827	CDS	2385	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
HNJIGEIF_00828	CDS	405				hypothetical protein
HNJIGEIF_00829	CDS	312				hypothetical protein
HNJIGEIF_00830	CDS	288				hypothetical protein
HNJIGEIF_00831	CDS	561				hypothetical protein
HNJIGEIF_00832	CDS	348				hypothetical protein
HNJIGEIF_00833	CDS	270				hypothetical protein
HNJIGEIF_00834	CDS	2307				hypothetical protein
HNJIGEIF_00835	CDS	1065	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
HNJIGEIF_00836	CDS	870				hypothetical protein
HNJIGEIF_00837	CDS	654				hypothetical protein
HNJIGEIF_00838	CDS	939				hypothetical protein
HNJIGEIF_00839	CDS	1314				hypothetical protein
HNJIGEIF_00840	CDS	525	sigE		COG1595	ECF RNA polymerase sigma factor SigE
HNJIGEIF_00841	CDS	1422	tpl	4.1.99.2	COG3033	Tyrosine phenol-lyase
HNJIGEIF_00842	CDS	1089	ansA	3.5.1.1	COG0252	L-asparaginase 1
HNJIGEIF_00843	CDS	588	hpt	2.4.2.8	COG0634	Hypoxanthine-guanine phosphoribosyltransferase
HNJIGEIF_00844	CDS	1407	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
HNJIGEIF_00845	CDS	1986	mutL			DNA mismatch repair protein MutL
HNJIGEIF_00846	CDS	201				hypothetical protein
HNJIGEIF_00847	CDS	819				hypothetical protein
HNJIGEIF_00848	CDS	396				hypothetical protein
HNJIGEIF_00849	CDS	1005				hypothetical protein
HNJIGEIF_00850	tRNA	75				tRNA-Arg(ccg)
HNJIGEIF_00851	CDS	354				hypothetical protein
HNJIGEIF_00852	CDS	1713				hypothetical protein
HNJIGEIF_00853	CDS	765				hypothetical protein
HNJIGEIF_00854	CDS	1479	yeeO_2		COG0534	putative FMN/FAD exporter YeeO
HNJIGEIF_00855	CDS	270				hypothetical protein
HNJIGEIF_00856	CDS	525	yfkM	3.2.-.-	COG0693	General stress protein 18
HNJIGEIF_00857	CDS	618	sodA	1.15.1.1		Superoxide dismutase [Mn]
HNJIGEIF_00858	CDS	303				hypothetical protein
HNJIGEIF_00859	CDS	1065				hypothetical protein
HNJIGEIF_00860	CDS	1059				hypothetical protein
HNJIGEIF_00861	CDS	216	csp			Cold shock protein
HNJIGEIF_00862	CDS	1305				hypothetical protein
HNJIGEIF_00863	CDS	2337				hypothetical protein
HNJIGEIF_00864	CDS	960				hypothetical protein
HNJIGEIF_00865	CDS	192				hypothetical protein
HNJIGEIF_00866	CDS	744	argB_1	2.7.2.8		Acetylglutamate kinase
HNJIGEIF_00867	CDS	2112	caiA	1.3.8.13		Crotonobetainyl-CoA reductase
HNJIGEIF_00868	CDS	861	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
HNJIGEIF_00869	CDS	387				hypothetical protein
HNJIGEIF_00870	CDS	930				hypothetical protein
HNJIGEIF_00871	CDS	912				hypothetical protein
HNJIGEIF_00872	CDS	273				hypothetical protein
HNJIGEIF_00873	CDS	1272	mdtG			Multidrug resistance protein MdtG
HNJIGEIF_00874	CDS	1317	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
HNJIGEIF_00875	CDS	573				hypothetical protein
HNJIGEIF_00876	CDS	1344	hemH_1	4.99.1.1		Ferrochelatase
HNJIGEIF_00877	CDS	984	hemF	1.3.3.3		Oxygen-dependent coproporphyrinogen-III oxidase
HNJIGEIF_00878	CDS	699	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
HNJIGEIF_00879	CDS	1029	ord	1.4.1.26		2,4-diaminopentanoate dehydrogenase
HNJIGEIF_00880	CDS	930	thrA_2		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
HNJIGEIF_00881	CDS	999				hypothetical protein
HNJIGEIF_00882	CDS	546	spmB			Spore maturation protein B
HNJIGEIF_00883	CDS	1554	dacC	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacC
HNJIGEIF_00884	CDS	1509	dapE_1	3.5.1.18		Succinyl-diaminopimelate desuccinylase
HNJIGEIF_00885	CDS	513				hypothetical protein
HNJIGEIF_00886	CDS	234				hypothetical protein
HNJIGEIF_00887	CDS	489				hypothetical protein
HNJIGEIF_00888	CDS	222				hypothetical protein
HNJIGEIF_00889	CDS	1389				hypothetical protein
HNJIGEIF_00890	CDS	1353	gltP		COG1301	Proton/glutamate-aspartate symporter
HNJIGEIF_00891	CDS	1452				hypothetical protein
HNJIGEIF_00892	CDS	4347	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
HNJIGEIF_00893	CDS	3864	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
HNJIGEIF_00894	CDS	384	rplL		COG0222	50S ribosomal protein L7/L12
HNJIGEIF_00895	CDS	537	rplJ		COG0244	50S ribosomal protein L10
HNJIGEIF_00896	CDS	714	rplA			50S ribosomal protein L1
HNJIGEIF_00897	CDS	441	rplK		COG0080	50S ribosomal protein L11
HNJIGEIF_00898	CDS	558	nusG		COG0250	Transcription termination/antitermination protein NusG
HNJIGEIF_00899	CDS	186	secE			Protein translocase subunit SecE
HNJIGEIF_00900	tRNA	76				tRNA-Trp(cca)
HNJIGEIF_00901	CDS	1155	tuf_1		COG0050	Elongation factor Tu
HNJIGEIF_00902	CDS	315			COG1662	IS1 family transposase ISSru3
HNJIGEIF_00903	CDS	528	flgE_2		COG1749	Flagellar hook protein FlgE
HNJIGEIF_00904	CDS	519	cheW		COG0835	Chemotaxis protein CheW
HNJIGEIF_00905	CDS	879	cheR1	2.1.1.80		Chemotaxis protein methyltransferase 1
HNJIGEIF_00906	CDS	372	cheY		COG0784	Chemotaxis protein CheY 
HNJIGEIF_00907	CDS	990				hypothetical protein
HNJIGEIF_00908	CDS	1920				hypothetical protein
HNJIGEIF_00909	CDS	1101	cheB1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase 1
HNJIGEIF_00910	CDS	684				hypothetical protein
HNJIGEIF_00911	CDS	2718				hypothetical protein
HNJIGEIF_00912	CDS	621				hypothetical protein
HNJIGEIF_00913	CDS	1896				hypothetical protein
HNJIGEIF_00914	CDS	645				hypothetical protein
HNJIGEIF_00915	CDS	1959				hypothetical protein
HNJIGEIF_00916	CDS	822	pomA		COG1291	Chemotaxis protein PomA
HNJIGEIF_00917	CDS	777	motB		COG1360	Motility protein B
HNJIGEIF_00918	CDS	489				hypothetical protein
HNJIGEIF_00919	CDS	1119	fliM		COG1868	Flagellar motor switch protein FliM
HNJIGEIF_00920	CDS	753				hypothetical protein
HNJIGEIF_00921	CDS	618				hypothetical protein
HNJIGEIF_00922	CDS	855	fliP		COG1338	Flagellar biosynthetic protein FliP
HNJIGEIF_00923	CDS	270				hypothetical protein
HNJIGEIF_00924	CDS	777	spaR		COG4791	Surface presentation of antigens protein SpaR
HNJIGEIF_00925	CDS	1062	flhB		COG1377	Flagellar biosynthetic protein FlhB
HNJIGEIF_00926	CDS	2163	flhA		COG1298	Flagellar biosynthesis protein FlhA
HNJIGEIF_00927	CDS	1350				hypothetical protein
HNJIGEIF_00928	CDS	771	ylxH		COG0455	Flagellum site-determining protein YlxH
HNJIGEIF_00929	CDS	318				hypothetical protein
HNJIGEIF_00930	CDS	747	sigD		COG1191	RNA polymerase sigma-D factor
HNJIGEIF_00931	CDS	1578				hypothetical protein
HNJIGEIF_00932	CDS	708				hypothetical protein
HNJIGEIF_00933	CDS	846				hypothetical protein
HNJIGEIF_00934	CDS	336				hypothetical protein
HNJIGEIF_00935	CDS	933				hypothetical protein
HNJIGEIF_00936	CDS	1512	miaB	2.8.4.3		tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
HNJIGEIF_00937	CDS	2241	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
HNJIGEIF_00938	CDS	876			COG1721	putative protein
HNJIGEIF_00939	CDS	1005				hypothetical protein
HNJIGEIF_00940	CDS	759	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
HNJIGEIF_00941	CDS	978				hypothetical protein
HNJIGEIF_00942	CDS	1077				hypothetical protein
HNJIGEIF_00943	CDS	642				hypothetical protein
HNJIGEIF_00944	CDS	597				hypothetical protein
HNJIGEIF_00945	CDS	1872				hypothetical protein
HNJIGEIF_00946	CDS	750				hypothetical protein
HNJIGEIF_00947	CDS	807				hypothetical protein
HNJIGEIF_00948	CDS	903	catM			HTH-type transcriptional regulator CatM
HNJIGEIF_00949	CDS	597				hypothetical protein
HNJIGEIF_00950	CDS	1197				hypothetical protein
HNJIGEIF_00951	CDS	651				hypothetical protein
HNJIGEIF_00952	CDS	708	tdk	2.7.1.21		Thymidine kinase
HNJIGEIF_00953	CDS	210				hypothetical protein
HNJIGEIF_00954	CDS	477				hypothetical protein
HNJIGEIF_00955	CDS	2187				hypothetical protein
HNJIGEIF_00956	CDS	345			COG0718	Nucleoid-associated protein
HNJIGEIF_00957	CDS	714	recR		COG0353	Recombination protein RecR
HNJIGEIF_00958	CDS	1203	lysDH	1.4.1.18		Lysine 6-dehydrogenase
HNJIGEIF_00959	CDS	7770				hypothetical protein
HNJIGEIF_00960	CDS	771	lipB	2.3.1.181	COG0321	Octanoyltransferase
HNJIGEIF_00961	CDS	363				hypothetical protein
HNJIGEIF_00962	CDS	360				hypothetical protein
HNJIGEIF_00963	CDS	372				hypothetical protein
HNJIGEIF_00964	CDS	468	rsfS			Ribosomal silencing factor RsfS
HNJIGEIF_00965	CDS	468				hypothetical protein
HNJIGEIF_00966	CDS	510				hypothetical protein
HNJIGEIF_00967	CDS	1005	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
HNJIGEIF_00968	CDS	1041	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
HNJIGEIF_00969	CDS	1614				hypothetical protein
HNJIGEIF_00970	CDS	1392				hypothetical protein
HNJIGEIF_00971	CDS	1473	proS	6.1.1.15	COG0442	Proline--tRNA ligase
HNJIGEIF_00972	CDS	1212				hypothetical protein
HNJIGEIF_00973	CDS	702				hypothetical protein
HNJIGEIF_00974	CDS	2514				hypothetical protein
HNJIGEIF_00975	CDS	312	ziaR			Transcriptional repressor SmtB 
HNJIGEIF_00976	CDS	1005	iolE	4.2.1.44		Inosose dehydratase
HNJIGEIF_00977	CDS	1413	iolG	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
HNJIGEIF_00978	CDS	774				hypothetical protein
HNJIGEIF_00979	CDS	1176				hypothetical protein
HNJIGEIF_00980	CDS	969				hypothetical protein
HNJIGEIF_00981	CDS	1968	nagB	3.5.99.6		Glucosamine-6-phosphate deaminase
HNJIGEIF_00982	CDS	1734	mpdB	1.1.1.400		2-methyl-1,2-propanediol dehydrogenase
HNJIGEIF_00983	CDS	627		1.1.99.3		Gluconate 2-dehydrogenase subunit 3
HNJIGEIF_00984	CDS	159				hypothetical protein
HNJIGEIF_00985	CDS	1353				hypothetical protein
HNJIGEIF_00986	CDS	606				hypothetical protein
HNJIGEIF_00987	CDS	510	algU_1		COG1595	RNA polymerase sigma-H factor
HNJIGEIF_00988	CDS	1263				hypothetical protein
HNJIGEIF_00989	CDS	657	natA_1	7.2.2.4	COG4555	ABC transporter ATP-binding protein NatA
HNJIGEIF_00990	CDS	1284				hypothetical protein
HNJIGEIF_00991	CDS	789				hypothetical protein
HNJIGEIF_00992	CDS	288				hypothetical protein
HNJIGEIF_00993	CDS	1140	dusB	1.3.1.-		tRNA-dihydrouridine synthase B
HNJIGEIF_00994	CDS	477	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
HNJIGEIF_00995	CDS	279				hypothetical protein
HNJIGEIF_00996	CDS	1689				hypothetical protein
HNJIGEIF_00997	CDS	1356				hypothetical protein
HNJIGEIF_00998	CDS	834				hypothetical protein
HNJIGEIF_00999	CDS	1767	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
HNJIGEIF_01000	CDS	2268	rcsC_6	2.7.13.3		Sensor histidine kinase RcsC
HNJIGEIF_01001	CDS	720				hypothetical protein
HNJIGEIF_01002	CDS	1557				hypothetical protein
HNJIGEIF_01003	CDS	2880	rcsC_7	2.7.13.3		Sensor histidine kinase RcsC
HNJIGEIF_01004	CDS	483	IMPDH_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
HNJIGEIF_01005	CDS	318				hypothetical protein
HNJIGEIF_01006	CDS	444				hypothetical protein
HNJIGEIF_01007	CDS	483				hypothetical protein
HNJIGEIF_01008	CDS	1410	tgs1	2.3.1.20		putative diacyglycerol O-acyltransferase tgs1
HNJIGEIF_01009	CDS	1209				hypothetical protein
HNJIGEIF_01010	CDS	933				hypothetical protein
HNJIGEIF_01011	CDS	771	mkl_1		COG1127	putative ribonucleotide transport ATP-binding protein mkl
HNJIGEIF_01012	CDS	699	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
HNJIGEIF_01013	CDS	1380	radA	3.6.4.-	COG1066	DNA repair protein RadA
HNJIGEIF_01014	CDS	606				hypothetical protein
HNJIGEIF_01015	CDS	564				hypothetical protein
HNJIGEIF_01016	CDS	744				hypothetical protein
HNJIGEIF_01017	CDS	1287				hypothetical protein
HNJIGEIF_01018	CDS	555				hypothetical protein
HNJIGEIF_01019	CDS	399	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
HNJIGEIF_01020	CDS	1152	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
HNJIGEIF_01021	CDS	1431	rtcB	6.5.1.-	COG1690	RNA-splicing ligase RtcB
HNJIGEIF_01022	CDS	741	cusR		COG0745	Transcriptional regulatory protein CusR
HNJIGEIF_01023	CDS	711	phoP_3		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
HNJIGEIF_01024	CDS	1071	ysdC	3.4.11.-	COG1363	Putative aminopeptidase YsdC
HNJIGEIF_01025	CDS	1359	aroH	2.5.1.54	COG3200	Phospho-2-dehydro-3-deoxyheptonate aldolase
HNJIGEIF_01026	CDS	738	phoP_4		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
HNJIGEIF_01027	CDS	1476	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
HNJIGEIF_01028	CDS	1500				hypothetical protein
HNJIGEIF_01029	CDS	1512		3.4.17.19	COG2317	Thermostable carboxypeptidase 1
HNJIGEIF_01030	CDS	315			COG1662	IS1 family transposase ISSru3
HNJIGEIF_01031	CDS	195				hypothetical protein
HNJIGEIF_01032	CDS	600				hypothetical protein
HNJIGEIF_01033	CDS	264	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
HNJIGEIF_01034	CDS	852	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
HNJIGEIF_01035	CDS	1344				hypothetical protein
HNJIGEIF_01036	CDS	3147	bepE			Efflux pump membrane transporter BepE
HNJIGEIF_01037	CDS	1113	mdtE_1			Multidrug resistance protein MdtE
HNJIGEIF_01038	CDS	1383				hypothetical protein
HNJIGEIF_01039	CDS	1521	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
HNJIGEIF_01040	CDS	1254		1.6.3.5		Renalase
HNJIGEIF_01041	CDS	435				hypothetical protein
HNJIGEIF_01042	CDS	174				hypothetical protein
HNJIGEIF_01043	CDS	756				hypothetical protein
HNJIGEIF_01044	CDS	540				hypothetical protein
HNJIGEIF_01045	CDS	2568	pcrA_1	3.6.4.12		ATP-dependent DNA helicase PcrA
HNJIGEIF_01046	CDS	1554		4.3.1.23	COG2986	Tyrosine ammonia-lyase
HNJIGEIF_01047	CDS	513				Single-stranded DNA-binding protein
HNJIGEIF_01048	CDS	519	dinG_1	3.1.-.-		3'-5' exonuclease DinG
HNJIGEIF_01049	CDS	822				hypothetical protein
HNJIGEIF_01050	CDS	315			COG1662	IS1 family transposase ISSru3
HNJIGEIF_01051	CDS	768			COG3039	IS5 family transposase ISMac15
HNJIGEIF_01052	CDS	186				hypothetical protein
HNJIGEIF_01053	CDS	450				hypothetical protein
HNJIGEIF_01054	CDS	1116	rcsC_8	2.7.13.3		Sensor histidine kinase RcsC
HNJIGEIF_01055	CDS	612				hypothetical protein
HNJIGEIF_01056	CDS	1365	menE_1	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
HNJIGEIF_01057	CDS	1107	ykfB	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
HNJIGEIF_01058	CDS	915	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
HNJIGEIF_01059	CDS	900				hypothetical protein
HNJIGEIF_01060	CDS	1776	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
HNJIGEIF_01061	CDS	1425	menF_2	5.4.4.2		Isochorismate synthase MenF
HNJIGEIF_01062	CDS	678	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
HNJIGEIF_01063	CDS	642				hypothetical protein
HNJIGEIF_01064	CDS	705				hypothetical protein
HNJIGEIF_01065	CDS	933				hypothetical protein
HNJIGEIF_01066	CDS	1002				hypothetical protein
HNJIGEIF_01067	CDS	1368	gabD1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] 1
HNJIGEIF_01068	CDS	732	rnc	3.1.26.3	COG0571	Ribonuclease 3
HNJIGEIF_01069	CDS	828	cysQ_1	3.1.3.7		3'(2'),5'-bisphosphate nucleotidase CysQ
HNJIGEIF_01070	CDS	912				hypothetical protein
HNJIGEIF_01071	CDS	324			COG1534	RNA-binding protein
HNJIGEIF_01072	CDS	1260				hypothetical protein
HNJIGEIF_01073	CDS	1329				hypothetical protein
HNJIGEIF_01074	CDS	591				hypothetical protein
HNJIGEIF_01075	CDS	933			COG1721	putative protein
HNJIGEIF_01076	CDS	600	pyrR_1			Bifunctional protein PyrR
HNJIGEIF_01077	CDS	969	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
HNJIGEIF_01078	CDS	1971				hypothetical protein
HNJIGEIF_01079	CDS	1440				hypothetical protein
HNJIGEIF_01080	CDS	717			COG1136	putative ABC transporter ATP-binding protein
HNJIGEIF_01081	CDS	2544				hypothetical protein
HNJIGEIF_01082	CDS	1203	nhaS3			High-affinity Na(+)/H(+) antiporter NhaS3
HNJIGEIF_01083	CDS	1170				hypothetical protein
HNJIGEIF_01084	CDS	471				hypothetical protein
HNJIGEIF_01085	CDS	1002	cysQ_2	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
HNJIGEIF_01086	CDS	816				hypothetical protein
HNJIGEIF_01087	CDS	1194		2.6.1.1		Aspartate aminotransferase
HNJIGEIF_01088	CDS	474	guaD	3.5.4.3	COG0590	Guanine deaminase
HNJIGEIF_01089	CDS	519				hypothetical protein
HNJIGEIF_01090	CDS	657				hypothetical protein
HNJIGEIF_01091	CDS	1353				hypothetical protein
HNJIGEIF_01092	CDS	2424	tolB_1			Tol-Pal system protein TolB
HNJIGEIF_01093	CDS	663				hypothetical protein
HNJIGEIF_01094	CDS	372			COG0316	Protein
HNJIGEIF_01095	CDS	2628	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
HNJIGEIF_01096	CDS	693				hypothetical protein
HNJIGEIF_01097	CDS	909				hypothetical protein
HNJIGEIF_01098	CDS	960				hypothetical protein
HNJIGEIF_01099	CDS	639	cmoM	2.1.1.-		tRNA 5-carboxymethoxyuridine methyltransferase
HNJIGEIF_01100	CDS	1824	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
HNJIGEIF_01101	CDS	360				hypothetical protein
HNJIGEIF_01102	CDS	573	resA_1			Thiol-disulfide oxidoreductase ResA
HNJIGEIF_01103	CDS	378				hypothetical protein
HNJIGEIF_01104	CDS	660				hypothetical protein
HNJIGEIF_01105	CDS	483				hypothetical protein
HNJIGEIF_01106	CDS	1089				hypothetical protein
HNJIGEIF_01107	CDS	852	mscS_1		COG0668	Small-conductance mechanosensitive channel
HNJIGEIF_01108	CDS	426	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
HNJIGEIF_01109	CDS	984	pikAII	2.3.1.239		Narbonolide/10-deoxymethynolide synthase PikA2, modules 3 and 4
HNJIGEIF_01110	CDS	1239	pncC	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
HNJIGEIF_01111	CDS	675	pyrE_1	2.4.2.10		Orotate phosphoribosyltransferase
HNJIGEIF_01112	CDS	606	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
HNJIGEIF_01113	CDS	2004	dnaK		COG0443	Chaperone protein DnaK
HNJIGEIF_01114	CDS	789	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
HNJIGEIF_01115	CDS	1317				hypothetical protein
HNJIGEIF_01116	CDS	2043	btuB_2			Vitamin B12 transporter BtuB
HNJIGEIF_01117	CDS	969	iaaA_1	3.4.19.5	COG1446	Isoaspartyl peptidase
HNJIGEIF_01118	CDS	1311				hypothetical protein
HNJIGEIF_01119	CDS	597	yvqK	2.5.1.17	COG2096	Corrinoid adenosyltransferase
HNJIGEIF_01120	CDS	804	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
HNJIGEIF_01121	CDS	666				hypothetical protein
HNJIGEIF_01122	CDS	588	def	3.5.1.88	COG0242	Peptide deformylase
HNJIGEIF_01123	CDS	345	algA_2		COG0662	Alginate biosynthesis protein AlgA
HNJIGEIF_01124	CDS	1953				hypothetical protein
HNJIGEIF_01125	CDS	363				hypothetical protein
HNJIGEIF_01126	CDS	633	upp	2.4.2.9		Uracil phosphoribosyltransferase
HNJIGEIF_01127	CDS	1755				hypothetical protein
HNJIGEIF_01128	CDS	402				hypothetical protein
HNJIGEIF_01129	CDS	1035				IS630 family transposase ISNma5
HNJIGEIF_01130	CDS	1155	tuf_2		COG0050	Elongation factor Tu
HNJIGEIF_01131	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
HNJIGEIF_01132	CDS	627	rplC			50S ribosomal protein L3
HNJIGEIF_01133	CDS	648	rplD			50S ribosomal protein L4
HNJIGEIF_01134	CDS	300	rplW			50S ribosomal protein L23
HNJIGEIF_01135	CDS	852	rplB		COG0090	50S ribosomal protein L2
HNJIGEIF_01136	CDS	294	rpsS		COG0185	30S ribosomal protein S19
HNJIGEIF_01137	CDS	366	rplV		COG0091	50S ribosomal protein L22
HNJIGEIF_01138	CDS	711	rpsC		COG0092	30S ribosomal protein S3
HNJIGEIF_01139	CDS	438	rplP		COG0197	50S ribosomal protein L16
HNJIGEIF_01140	CDS	210	rpmC			50S ribosomal protein L29
HNJIGEIF_01141	CDS	309	rpsQ			30S ribosomal protein S17
HNJIGEIF_01142	CDS	369	rplN		COG0093	50S ribosomal protein L14
HNJIGEIF_01143	CDS	372	rplX			50S ribosomal protein L24
HNJIGEIF_01144	CDS	576	rplE		COG0094	50S ribosomal protein L5
HNJIGEIF_01145	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
HNJIGEIF_01146	CDS	402	rpsH		COG0096	30S ribosomal protein S8
HNJIGEIF_01147	CDS	555	rplF			50S ribosomal protein L6
HNJIGEIF_01148	CDS	360	rplR			50S ribosomal protein L18
HNJIGEIF_01149	CDS	528	rpsE		COG0098	30S ribosomal protein S5
HNJIGEIF_01150	CDS	471	rplO			50S ribosomal protein L15
HNJIGEIF_01151	CDS	1332	secY		COG0201	Protein translocase subunit SecY
HNJIGEIF_01152	CDS	825	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
HNJIGEIF_01153	CDS	222	infA			Translation initiation factor IF-1
HNJIGEIF_01154	CDS	384	rpsM		COG0099	30S ribosomal protein S13
HNJIGEIF_01155	CDS	405	rpsK			30S ribosomal protein S11
HNJIGEIF_01156	CDS	603	rpsD		COG0522	30S ribosomal protein S4
HNJIGEIF_01157	CDS	987	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
HNJIGEIF_01158	CDS	594				hypothetical protein
HNJIGEIF_01159	CDS	2241	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
HNJIGEIF_01160	CDS	381	ihfB			Integration host factor subunit beta
HNJIGEIF_01161	CDS	432	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
HNJIGEIF_01162	CDS	1041				hypothetical protein
HNJIGEIF_01163	CDS	540		2.7.7.53	COG0537	AP-4-A phosphorylase
HNJIGEIF_01164	CDS	834	yciV	3.1.13.-	COG0613	5'-3' exoribonuclease
HNJIGEIF_01165	CDS	471	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
HNJIGEIF_01166	tRNA	76				tRNA-His(gtg)
HNJIGEIF_01167	tRNA	78				tRNA-Glu(ttc)
HNJIGEIF_01168	CDS	1152				hypothetical protein
HNJIGEIF_01169	CDS	237				hypothetical protein
HNJIGEIF_01170	CDS	678				hypothetical protein
HNJIGEIF_01171	CDS	561	msrA2	1.8.4.11		Peptide methionine sulfoxide reductase MsrA 2
HNJIGEIF_01172	CDS	429	ndk	2.7.4.6		Nucleoside diphosphate kinase
HNJIGEIF_01173	CDS	1236				hypothetical protein
HNJIGEIF_01174	CDS	246				hypothetical protein
HNJIGEIF_01175	CDS	1434	dac	3.4.16.4		D-alanyl-D-alanine carboxypeptidase
HNJIGEIF_01176	CDS	468				hypothetical protein
HNJIGEIF_01177	CDS	897	dapA_2	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
HNJIGEIF_01178	CDS	741	dapB	1.17.1.8		4-hydroxy-tetrahydrodipicolinate reductase
HNJIGEIF_01179	tRNA	74				tRNA-Ala(ggc)
HNJIGEIF_01180	CDS	1392	phr	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
HNJIGEIF_01181	CDS	267				hypothetical protein
HNJIGEIF_01182	CDS	114				hypothetical protein
HNJIGEIF_01183	CDS	204				hypothetical protein
HNJIGEIF_01184	CDS	1410				hypothetical protein
HNJIGEIF_01185	CDS	549				hypothetical protein
HNJIGEIF_01186	CDS	1260				hypothetical protein
HNJIGEIF_01187	CDS	426				hypothetical protein
HNJIGEIF_01188	CDS	249				hypothetical protein
HNJIGEIF_01189	CDS	516				hypothetical protein
HNJIGEIF_01190	tmRNA	367	ssrA			transfer-messenger RNA, SsrA
HNJIGEIF_01191	CDS	846	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
HNJIGEIF_01192	CDS	603				hypothetical protein
HNJIGEIF_01193	CDS	405				hypothetical protein
HNJIGEIF_01194	CDS	504				hypothetical protein
HNJIGEIF_01195	CDS	1248	acdA	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
HNJIGEIF_01196	CDS	582	dps	1.16.-.-	COG0783	DNA protection during starvation protein
HNJIGEIF_01197	CDS	2589	topA	5.6.2.1	COG0550	DNA topoisomerase 1
HNJIGEIF_01198	CDS	975	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
HNJIGEIF_01199	CDS	279				hypothetical protein
HNJIGEIF_01200	CDS	243				hypothetical protein
